dataset,id_graph,|E_L_2|,EL2_stima,n**4
enzymes,77,44863,686256.0,83521
enzymes,78,152281,2112000.0,160000
enzymes,79,65205,966656.0,104976
enzymes,80,933961,11464488.0,1185921
enzymes,81,198907,2694912.0,279841
enzymes,82,162243,2229696.0,279841
enzymes,83,1166959,14149984.0,1500625
enzymes,84,866809,10690688.0,1185921
enzymes,85,771389,9712440.0,2313441
enzymes,86,954535,11851696.0,2560000
enzymes,87,2622097,30407832.0,2085136
enzymes,88,2873287,33223360.0,2560000
enzymes,89,648756,8258976.0,2085136
enzymes,90,1478643,17724440.0,1874161
enzymes,91,1367804,16458904.0,1679616
enzymes,92,360873,4766720.0,1336336
enzymes,93,783063,9732152.0,1336336
enzymes,94,689644,8617984.0,1048576
enzymes,95,65722,974848.0,104976
enzymes,96,755108,9396400.0,1048576
enzymes,97,831217,10306744.0,1336336
enzymes,98,506120,6458880.0,810000
enzymes,99,630,21384.0,625
enzymes,100,1900081,22674432.0,4100625
enzymes,101,1489152,17966528.0,3111696
enzymes,102,4449315,51418800.0,12117361
enzymes,103,701262,8749056.0,1048576
enzymes,104,944330,11578752.0,1185921
enzymes,105,52271,792000.0,83521
enzymes,106,1775097,21107896.0,2313441
enzymes,107,1743377,20709920.0,2085136
enzymes,108,946534,11642400.0,1500625
enzymes,109,48160,740080.0,65536
enzymes,110,283141,3745560.0,456976
enzymes,111,2225091,26641800.0,6765201
enzymes,112,2499796,29733984.0,7311616
enzymes,113,243170,3251648.0,390625
enzymes,114,315356,4140792.0,531441
enzymes,115,942336,11784352.0,3111696
enzymes,116,2088596,24818400.0,4477456
enzymes,117,3065530,40174904.0,84934656
enzymes,118,19156,332992.0,20736
enzymes,119,268227,3605664.0,234256
enzymes,120,1597416,19203744.0,3111696
enzymes,121,54539,854456.0,38416
enzymes,122,4764960,57677304.0,65610000
enzymes,123,71666,1099384.0,38416
enzymes,124,93294,1411344.0,38416
enzymes,125,208862,2862864.0,1048576
enzymes,126,24293,423200.0,14641
enzymes,127,100036,1456616.0,456976
enzymes,128,13439,243200.0,14641
enzymes,129,28833,470000.0,38416
enzymes,130,95737,1381800.0,104976
enzymes,131,74798,1122304.0,65536
enzymes,132,90377,1322464.0,83521
enzymes,133,303878,4036752.0,1048576
enzymes,134,36883,605696.0,28561
enzymes,135,3,432.0,81
enzymes,136,143044,1996800.0,234256
enzymes,137,121811,1772928.0,65536
enzymes,138,1736397,20602336.0,2085136
enzymes,139,49270,784000.0,28561
enzymes,140,27686,470016.0,20736
enzymes,141,53726,834272.0,38416
enzymes,142,531931,6846640.0,2313441
enzymes,143,92759,1342600.0,130321
enzymes,144,137615,1922544.0,160000
enzymes,145,2102396,24705216.0,2313441
enzymes,146,1786053,21224448.0,2560000
enzymes,147,1492985,17920000.0,2313441
enzymes,148,1665715,19849248.0,2313441
enzymes,149,127642,1815480.0,707281
enzymes,150,149127,2086400.0,234256
enzymes,151,20654,371712.0,14641
enzymes,152,6391,139264.0,4096
enzymes,153,17352,294272.0,28561
enzymes,154,81914,1219680.0,104976
enzymes,155,19227,332992.0,20736
enzymes,156,4825,106200.0,4096
enzymes,157,569479,7334712.0,2560000
enzymes,158,33481,570000.0,20736
enzymes,159,311295,4128768.0,234256
enzymes,160,180465,2483712.0,234256
enzymes,161,66203,983040.0,104976
enzymes,162,18870,325248.0,20736
enzymes,163,116100,1679616.0,83521
enzymes,164,34035,546208.0,38416
enzymes,165,86928,1254528.0,234256
enzymes,166,2622114,30537216.0,3418801
enzymes,167,1669898,19982592.0,3111696
enzymes,168,2585589,30183776.0,3748096
enzymes,169,141207,1963408.0,331776
enzymes,170,2926280,34107480.0,5308416
enzymes,171,222866,2996256.0,390625
enzymes,172,2667247,31186944.0,4477456
enzymes,173,2771524,32423104.0,5308416
enzymes,174,169009,2322344.0,390625
enzymes,175,2545034,29933568.0,5308416
enzymes,176,2861117,33177600.0,3748096
enzymes,177,2079556,24532992.0,3111696
enzymes,178,430938,5680992.0,2560000
enzymes,179,486849,6307200.0,2085136
enzymes,180,1540996,18475776.0,2560000
enzymes,181,1903057,22543008.0,2825761
enzymes,182,2710171,31456160.0,3111696
enzymes,183,2473287,28817880.0,2560000
enzymes,184,2683950,31262600.0,3748096
enzymes,185,127720,1792000.0,331776
enzymes,186,2586128,30183776.0,3748096
enzymes,187,138752,1946880.0,160000
enzymes,188,2845584,32923200.0,3111696
enzymes,189,271620,3611104.0,531441
enzymes,190,2534716,29859840.0,5308416
enzymes,191,821046,10140768.0,923521
enzymes,192,573575,7257600.0,810000
enzymes,193,3250508,37520000.0,4477456
enzymes,194,2179850,25865984.0,4879681
enzymes,195,1642258,19939616.0,6250000
enzymes,196,1249674,15225672.0,2560000
enzymes,197,900435,11668272.0,9150625
enzymes,198,3128011,37418112.0,14776336
enzymes,199,1080398,13146624.0,1336336
enzymes,200,347471,4539344.0,707281
enzymes,201,201027,2721600.0,390625
enzymes,202,2688940,31920000.0,9834496
enzymes,203,3203802,37661400.0,10556001
enzymes,204,692950,8662488.0,531441
enzymes,205,191206,2603392.0,234256
enzymes,206,172978,2366720.0,331776
enzymes,207,355556,4680000.0,279841
enzymes,208,2732378,32479984.0,10556001
enzymes,209,338233,4440000.0,331776
enzymes,210,341901,4500000.0,331776
enzymes,211,271505,3622760.0,279841
enzymes,212,486708,6243600.0,390625
enzymes,213,400480,5264424.0,279841
enzymes,214,3643464,41879552.0,5308416
enzymes,215,225580,3039584.0,531441
enzymes,216,100325,1488928.0,50625
enzymes,217,2994708,34625120.0,3748096
enzymes,218,787189,9764864.0,707281
enzymes,219,161828,2232368.0,194481
enzymes,220,630456,7969752.0,1336336
enzymes,221,455905,5848200.0,810000
enzymes,222,1344427,16276528.0,2560000
enzymes,223,3341796,38984400.0,8503056
enzymes,224,95667,1381800.0,104976
enzymes,225,1173428,14237600.0,1679616
enzymes,226,1630851,19420560.0,1874161
enzymes,227,1369985,16450048.0,1336336
enzymes,228,347830,4560000.0,279841
enzymes,229,909367,11171584.0,1048576
enzymes,230,1393385,16681088.0,1185921
enzymes,231,821765,10140000.0,707281
enzymes,232,919973,11412824.0,2313441
enzymes,233,982862,12034400.0,1336336
enzymes,234,978081,12017744.0,1679616
enzymes,235,86783,1264200.0,194481
enzymes,236,1448,41624.0,1296
enzymes,237,372304,4900000.0,234256
enzymes,238,178082,2521600.0,104976
enzymes,239,196175,2756840.0,104976
enzymes,240,644770,8126464.0,1336336
enzymes,241,558573,7084784.0,1048576
enzymes,242,579794,7349728.0,1185921
enzymes,243,712159,8887328.0,614656
enzymes,244,2118852,24904704.0,2560000
enzymes,245,1063798,13169280.0,3111696
enzymes,246,411467,5409312.0,2313441
enzymes,247,234709,3151872.0,614656
enzymes,248,317528,4174976.0,707281
enzymes,249,943892,11599576.0,810000
enzymes,250,33988,546208.0,38416
enzymes,251,529173,6739200.0,1048576
enzymes,252,741635,9269568.0,1500625
enzymes,253,144942,2022400.0,331776
enzymes,254,52299,792000.0,83521
enzymes,255,75150,1106424.0,104976
enzymes,256,47481,726624.0,65536
enzymes,257,103393,1482624.0,130321
enzymes,258,91510,1323000.0,130321
enzymes,259,185323,2554272.0,194481
enzymes,260,413038,5364736.0,279841
enzymes,261,345965,4515336.0,390625
enzymes,262,632881,7948800.0,531441
enzymes,263,275592,3649536.0,331776
enzymes,264,306150,4033680.0,331776
enzymes,265,575104,7293160.0,1048576
enzymes,266,519794,6627824.0,923521
enzymes,267,1075079,13106600.0,1185921
enzymes,268,1163041,14111192.0,1336336
enzymes,269,531635,6768000.0,1048576
enzymes,270,1025710,12504800.0,1048576
enzymes,271,1163166,14358240.0,3748096
enzymes,272,1781119,21168000.0,2560000
enzymes,273,965651,11979592.0,2560000
enzymes,274,476669,6221512.0,2085136
enzymes,275,438880,5669888.0,810000
enzymes,276,866172,10780000.0,2085136
enzymes,277,1675363,20114400.0,3748096
enzymes,278,3263049,38560232.0,12960000
enzymes,279,303214,3995136.0,614656
enzymes,280,75512,1138688.0,65536
enzymes,281,1512137,18578752.0,6250000
enzymes,282,1555330,19134432.0,7311616
enzymes,283,1076205,13482144.0,5308416
enzymes,284,1405832,17329536.0,6250000
enzymes,285,1483832,17912736.0,3111696
enzymes,286,1539207,18572744.0,3418801
enzymes,287,1319547,16026888.0,2825761
enzymes,288,1446970,17408000.0,2313441
enzymes,289,1084435,13273824.0,2085136
enzymes,290,2759229,33226752.0,14776336
enzymes,291,2401120,29120000.0,12960000
enzymes,292,1851433,26043152.0,84934656
enzymes,293,2485301,29716632.0,8503056
enzymes,294,4000511,55026208.0,236421376
enzymes,295,3977390,55666800.0,252047376
enzymes,296,5861991,75838616.0,221533456
enzymes,297,360419,4702608.0,331776
enzymes,298,968162,12047200.0,2825761
enzymes,299,2216006,26362152.0,5764801
enzymes,300,2089843,24713520.0,3748096
enzymes,301,1761530,20998656.0,3111696
enzymes,302,1655080,19785208.0,2825761
enzymes,303,1570498,18880992.0,3111696
enzymes,304,2400571,28230336.0,4477456
enzymes,305,2380702,28581504.0,9150625
enzymes,306,2057464,24647168.0,6250000
enzymes,307,1570498,18880992.0,3111696
enzymes,308,2484813,29194144.0,5308416
enzymes,309,2797651,32852952.0,6765201
enzymes,310,334113,4380000.0,331776
enzymes,311,1878048,22559008.0,6765201
enzymes,312,2450454,29048832.0,7311616
enzymes,313,112660,1594176.0,234256
enzymes,314,2389853,28032768.0,3748096
enzymes,315,2168590,25596000.0,3748096
enzymes,316,729552,9076736.0,923521
enzymes,317,383920,4988784.0,531441
enzymes,318,201859,2737800.0,390625
enzymes,319,282178,3842712.0,2085136
enzymes,320,184045,2526048.0,194481
enzymes,321,479814,6134112.0,707281
enzymes,322,108811,1544232.0,160000
enzymes,323,103914,1478520.0,194481
enzymes,324,2624461,30963296.0,6250000
enzymes,325,2709932,31629312.0,4477456
enzymes,326,2259698,26861440.0,5764801
enzymes,327,268892,3572688.0,531441
enzymes,328,18987,329120.0,20736
enzymes,329,36661,611104.0,38416
enzymes,330,296009,3926016.0,279841
enzymes,331,367916,4806648.0,331776
enzymes,332,544594,6935944.0,1185921
enzymes,333,321733,4224024.0,531441
enzymes,334,354586,4640184.0,390625
enzymes,335,333669,4369664.0,614656
enzymes,336,398274,5155488.0,614656
enzymes,337,18967,329120.0,20736
enzymes,338,278571,3687936.0,456976
enzymes,339,257021,3438232.0,614656
enzymes,340,391062,5062176.0,614656
enzymes,341,278755,3687936.0,456976
enzymes,342,211271,2851200.0,331776
enzymes,343,118134,1667016.0,279841
enzymes,344,557061,7050944.0,531441
enzymes,345,667695,8511144.0,2313441
enzymes,346,1947017,23070312.0,3111696
enzymes,347,1763840,21039200.0,3111696
enzymes,348,4745383,54916256.0,16777216
enzymes,349,936403,11574136.0,2085136
enzymes,350,176005,2413152.0,234256
enzymes,351,278,8192.0,6561
enzymes,352,335505,4390488.0,456976
enzymes,353,209407,2907072.0,130321
enzymes,354,3529359,42047488.0,18974736
enzymes,355,486558,6221824.0,531441
enzymes,356,581454,7380480.0,1336336
enzymes,357,464534,5945856.0,614656
enzymes,358,216156,2911616.0,456976
enzymes,359,434061,5598720.0,456976
enzymes,360,582652,7351872.0,614656
enzymes,361,180834,2501328.0,130321
enzymes,362,274486,3673376.0,160000
enzymes,363,360587,4763584.0,160000
enzymes,364,1014957,12600000.0,3111696
enzymes,365,1084907,13400320.0,3111696
enzymes,366,27507,445000.0,50625
enzymes,367,11044,205048.0,14641
enzymes,368,7388,145656.0,10000
enzymes,369,28076,479232.0,20736
enzymes,370,314472,4153344.0,810000
enzymes,371,32498,519168.0,50625
enzymes,372,14800,281600.0,10000
enzymes,373,87290,1276224.0,104976
enzymes,374,143963,2009600.0,234256
enzymes,375,19221,332992.0,20736
enzymes,376,897875,11093600.0,1679616
enzymes,377,287886,3828672.0,810000
enzymes,378,314472,4153344.0,810000
enzymes,379,494776,6400120.0,1679616
enzymes,380,436203,5651520.0,1185921
enzymes,381,2327596,27568320.0,5308416
enzymes,382,348043,4542720.0,531441
enzymes,383,406628,5248800.0,531441
enzymes,384,49456,760264.0,65536
enzymes,385,3851,94080.0,2401
enzymes,386,42485,664832.0,65536
enzymes,387,659067,8323072.0,1500625
enzymes,388,422768,5445000.0,614656
enzymes,389,1492967,17950896.0,2560000
enzymes,390,324603,4244832.0,456976
enzymes,391,1887208,22685744.0,5308416
enzymes,392,43584,677376.0,50625
enzymes,393,20300,360096.0,14641
enzymes,394,2666338,31424288.0,6250000
enzymes,395,98855,1440600.0,104976
enzymes,396,147316,2068560.0,130321
enzymes,397,20533,342792.0,38416
enzymes,398,201821,2751312.0,194481
enzymes,399,430560,5624608.0,1874161
enzymes,400,2811296,32743320.0,5308416
enzymes,401,351437,4598568.0,390625
enzymes,402,495370,6316056.0,614656
enzymes,403,377327,4942336.0,1185921
enzymes,404,268772,3580000.0,707281
enzymes,405,685795,8585216.0,1185921
enzymes,406,567697,7171200.0,810000
enzymes,407,818615,10175616.0,1185921
enzymes,408,542952,6912000.0,1048576
enzymes,409,702701,8764320.0,614656
enzymes,410,838952,10436112.0,1874161
enzymes,411,809060,10061824.0,1679616
enzymes,412,1437219,17275088.0,2085136
enzymes,413,1073210,13130656.0,1874161
enzymes,414,1371775,16450048.0,1336336
enzymes,415,235899,3165536.0,331776
enzymes,416,243442,3251648.0,390625
enzymes,417,1099354,13538944.0,2825761
enzymes,418,332328,4369680.0,531441
enzymes,419,241921,3251648.0,456976
enzymes,420,296828,3918432.0,390625
enzymes,421,525333,6679944.0,531441
enzymes,422,124506,1755904.0,160000
enzymes,423,723431,9130176.0,2560000
enzymes,424,132202,1849536.0,194481
enzymes,425,71060,1045440.0,130321
enzymes,426,619600,7864320.0,1679616
enzymes,427,438539,5666256.0,1048576
enzymes,428,396552,5132160.0,614656
enzymes,429,411176,5406336.0,1874161
enzymes,430,121635,1730416.0,104976
enzymes,431,144400,2019888.0,130321
enzymes,432,254457,3402528.0,234256
enzymes,433,771800,9800000.0,3418801
enzymes,434,246442,3317888.0,331776
enzymes,435,89371,1341648.0,50625
enzymes,436,20071,334328.0,38416
enzymes,437,3248360,37557432.0,5308416
enzymes,438,3384479,38968776.0,4477456
enzymes,439,328027,4320000.0,456976
enzymes,440,544037,6974464.0,390625
enzymes,441,2920855,33861800.0,3748096
enzymes,442,1235928,15017600.0,2313441
enzymes,443,1483424,17824296.0,2313441
enzymes,444,345052,4536144.0,531441
enzymes,445,604218,7669920.0,456976
enzymes,446,533291,6823936.0,390625
enzymes,447,1074291,13173288.0,2313441
enzymes,448,555097,7069824.0,456976
enzymes,449,609267,7750656.0,456976
enzymes,450,339225,4432104.0,456976
enzymes,451,320302,4269024.0,1336336
enzymes,452,261781,3547800.0,160000
enzymes,453,143759,2032056.0,160000
enzymes,454,118424,1686608.0,130321
enzymes,455,85165,1239232.0,104976
enzymes,456,127906,1848672.0,1185921
enzymes,457,52800,820816.0,50625
enzymes,458,1435210,17170384.0,1336336
enzymes,459,897935,11086400.0,614656
enzymes,460,1606971,19122424.0,1336336
enzymes,461,61123,943200.0,50625
enzymes,462,35048,567840.0,38416
enzymes,463,261781,3547800.0,160000
enzymes,464,2612812,30971160.0,7311616
enzymes,465,125110,1767456.0,160000
enzymes,466,172174,2380296.0,160000
enzymes,467,112877,1609944.0,160000
enzymes,468,51898,784800.0,83521
enzymes,469,27334,460800.0,20736
enzymes,470,95788,1379952.0,331776
enzymes,471,2335068,27538416.0,4477456
enzymes,472,36697,600288.0,28561
enzymes,473,223560,3029400.0,331776
enzymes,474,22689,385112.0,20736
enzymes,475,27462,465408.0,20736
enzymes,476,34006,546208.0,38416
enzymes,477,125868,1779008.0,160000
enzymes,478,251596,3361400.0,614656
enzymes,479,107645,1536416.0,331776
enzymes,480,28011,479232.0,20736
enzymes,481,185768,2540032.0,456976
enzymes,482,254297,3402528.0,234256
enzymes,483,996831,12953600.0,12960000
enzymes,484,964055,11943936.0,2313441
enzymes,485,340226,4452912.0,456976
enzymes,486,37661,594864.0,50625
enzymes,487,150678,2088576.0,390625
enzymes,488,506074,6519192.0,1500625
enzymes,489,774883,9660328.0,1500625
enzymes,490,849774,10584000.0,2085136
enzymes,491,1464643,17574656.0,2085136
enzymes,492,873592,10764672.0,1185921
enzymes,493,571010,7233624.0,1048576
enzymes,494,1127810,13897576.0,3111696
enzymes,495,1076059,13307904.0,3111696
enzymes,496,1227373,14990976.0,2825761
enzymes,497,897600,11197440.0,2560000
enzymes,498,1233744,14971392.0,2085136
enzymes,499,3112345,35880544.0,3418801
enzymes,500,920535,12288000.0,20151121
enzymes,501,1090356,13301184.0,1679616
enzymes,502,1425739,17415392.0,4477456
enzymes,503,4772736,55526400.0,18974736
enzymes,504,199965,2721728.0,194481
enzymes,505,332737,4379424.0,234256
enzymes,506,264668,3537952.0,194481
enzymes,507,314975,4165632.0,194481
enzymes,508,2110622,24842752.0,2825761
enzymes,509,829434,10241400.0,707281
enzymes,510,915439,11240456.0,810000
enzymes,511,976523,11948416.0,810000
enzymes,512,2480451,28913024.0,2825761
enzymes,513,2326719,27134976.0,1874161
enzymes,514,340904,4473720.0,456976
enzymes,515,934403,11533808.0,1874161
enzymes,516,1729701,21038176.0,6250000
enzymes,517,473322,6046208.0,531441
enzymes,518,1435093,17170384.0,1336336
enzymes,519,1296245,15595648.0,1048576
enzymes,520,1562167,18623144.0,1500625
enzymes,521,1717594,20387168.0,1874161
enzymes,522,4614290,52339608.0,5308416
enzymes,523,976799,12134816.0,2825761
enzymes,524,893074,10977120.0,707281
enzymes,525,3674645,42979200.0,11316496
enzymes,526,3416713,40025704.0,10556001
enzymes,527,483422,6269688.0,194481
enzymes,528,232832,3209864.0,104976
enzymes,529,1547561,18627856.0,3111696
enzymes,530,1538003,18450656.0,2560000
enzymes,531,4718447,55180800.0,29986576
enzymes,532,1697835,20345600.0,3748096
enzymes,533,3154583,36381312.0,3748096
enzymes,534,1725314,20547072.0,2560000
enzymes,535,2328094,27355648.0,3748096
enzymes,536,2191258,25790776.0,3111696
enzymes,537,2009453,23789568.0,3418801
enzymes,538,2492278,29048448.0,2825761
enzymes,539,2063689,24714880.0,5764801
enzymes,540,883734,11413376.0,49787136
enzymes,541,3471655,39824704.0,3748096
enzymes,542,1072170,13261696.0,3111696
enzymes,543,1310720,15927032.0,2825761
enzymes,544,1177133,14419328.0,2825761
enzymes,545,1424249,17321024.0,3748096
enzymes,546,1655173,19741664.0,2313441
enzymes,547,199768,2705400.0,390625
enzymes,548,242131,3233976.0,390625
enzymes,549,192880,2624400.0,456976
enzymes,550,2594303,30732800.0,7311616
enzymes,551,1916938,22720512.0,2825761
enzymes,552,1376849,16836896.0,4100625
enzymes,553,720999,8978432.0,923521
enzymes,554,210475,2843904.0,456976
enzymes,555,254594,3391488.0,456976
enzymes,556,2657443,31441608.0,7311616
enzymes,557,2127450,25462656.0,6250000
enzymes,558,704420,8906176.0,2085136
enzymes,559,724995,9121648.0,1874161
enzymes,560,343311,4477824.0,531441
enzymes,561,410270,5299800.0,707281
enzymes,562,1203759,14950400.0,5308416
enzymes,563,1010465,12485280.0,2560000
enzymes,564,80672,1174496.0,130321
enzymes,565,93742,1420056.0,38416
enzymes,566,76311,1191640.0,28561
enzymes,567,111826,1710880.0,28561
enzymes,568,1691359,20287800.0,3748096
enzymes,569,1112167,13822848.0,4100625
enzymes,570,1385646,16944480.0,4477456
enzymes,571,1104823,13830056.0,4879681
enzymes,572,1328031,16352768.0,4879681
enzymes,573,2216655,26049600.0,3111696
enzymes,574,4265096,48787200.0,6765201
enzymes,575,318537,4182408.0,531441
enzymes,576,347885,4542720.0,531441
enzymes,577,2747169,32930336.0,12960000
enzymes,578,364038,4741592.0,614656
enzymes,579,1171311,14265000.0,2085136
enzymes,580,443857,5730360.0,279841
enzymes,581,122915,1752320.0,104976
enzymes,582,2881927,33496040.0,4100625
enzymes,583,241946,3256200.0,194481
enzymes,584,993930,12179056.0,1500625
enzymes,585,359393,4681800.0,331776
enzymes,586,179168,2455488.0,194481
enzymes,587,183722,2526048.0,194481
enzymes,588,618604,7780256.0,923521
enzymes,589,473127,6046208.0,531441
enzymes,590,2606047,30809632.0,6765201
enzymes,591,1438196,17229888.0,1679616
enzymes,592,898298,11280384.0,4477456
enzymes,593,5119018,57910176.0,7311616
enzymes,594,2241401,26373600.0,3748096
enzymes,595,2315555,27227928.0,4100625
enzymes,596,5504451,62005248.0,7311616
enzymes,597,2784816,32880000.0,9150625
enzymes,598,2654451,31118200.0,6765201
enzymes,599,1348627,16402464.0,5308416
mutag,0,7199,132848.0,83521
mutag,1,2482,51744.0,28561
mutag,2,2482,51744.0,28561
mutag,3,12160,212960.0,130321
mutag,4,1069,25168.0,14641
mutag,5,37914,607352.0,614656
mutag,6,4785,92480.0,65536
mutag,7,11906,209088.0,160000
mutag,8,1951,41912.0,20736
mutag,9,7410,135736.0,83521
mutag,10,7190,132848.0,83521
mutag,11,14239,245456.0,160000
mutag,12,18667,315000.0,234256
mutag,13,2571,53312.0,28561
mutag,14,12172,212960.0,130321
mutag,15,18651,315000.0,234256
mutag,16,1066,25168.0,14641
mutag,17,7387,135736.0,83521
mutag,18,2487,51744.0,28561
mutag,19,8659,156800.0,104976
mutag,20,6993,129960.0,104976
mutag,21,7410,135736.0,83521
mutag,22,23950,396576.0,279841
mutag,23,47841,749232.0,531441
mutag,24,7410,135736.0,83521
mutag,25,1942,41912.0,28561
mutag,26,23950,396576.0,279841
mutag,27,7410,135736.0,83521
mutag,28,18661,315000.0,279841
mutag,29,23969,396576.0,279841
mutag,30,18653,315000.0,234256
mutag,31,17852,305000.0,331776
mutag,32,18692,315000.0,279841
mutag,33,2487,51744.0,28561
mutag,34,7410,135736.0,83521
mutag,35,3214,64800.0,38416
mutag,36,5560,106272.0,83521
mutag,37,3822,75776.0,50625
mutag,38,3941,77824.0,50625
mutag,39,2482,51744.0,28561
mutag,40,7410,135736.0,83521
mutag,41,2579,53312.0,28561
mutag,42,12173,212960.0,130321
mutag,43,7199,132848.0,83521
mutag,44,1434,32256.0,20736
mutag,45,23950,396576.0,279841
mutag,46,18700,315000.0,234256
mutag,47,7210,132848.0,83521
mutag,48,11902,209088.0,160000
mutag,49,4926,94792.0,65536
mutag,50,33857,547200.0,456976
mutag,51,33858,547200.0,456976
mutag,52,10325,183456.0,130321
mutag,53,10337,183456.0,130321
mutag,54,3206,64800.0,38416
mutag,55,7210,132848.0,83521
mutag,56,11577,205216.0,194481
mutag,57,30692,497872.0,390625
mutag,58,23951,396576.0,279841
mutag,59,8647,156800.0,130321
mutag,60,7410,135736.0,83521
mutag,61,1067,25168.0,14641
mutag,62,14731,258048.0,279841
mutag,63,12165,212960.0,160000
mutag,64,4935,94792.0,65536
mutag,65,4794,92480.0,65536
mutag,66,14228,245456.0,160000
mutag,67,23950,396576.0,279841
mutag,68,10314,183456.0,130321
mutag,69,3315,66600.0,38416
mutag,70,33858,547200.0,456976
mutag,71,6089,114048.0,65536
mutag,72,4787,92480.0,65536
mutag,73,23968,396576.0,279841
mutag,74,6992,129960.0,104976
mutag,75,737,18400.0,10000
mutag,76,4785,92480.0,65536
mutag,77,4784,92480.0,65536
mutag,78,7210,132848.0,83521
mutag,79,12160,212960.0,130321
mutag,80,1435,32256.0,20736
mutag,81,27140,445312.0,390625
mutag,82,6089,114048.0,65536
mutag,83,1022,24200.0,14641
mutag,84,23951,396576.0,279841
mutag,85,23969,396576.0,279841
mutag,86,6089,114048.0,65536
mutag,87,1434,32256.0,20736
mutag,88,2567,53312.0,28561
mutag,89,23933,396576.0,279841
mutag,90,30691,497872.0,390625
mutag,91,12186,212960.0,130321
mutag,92,23932,396576.0,279841
mutag,93,12173,212960.0,130321
mutag,94,8646,156800.0,130321
mutag,95,27157,445312.0,390625
mutag,96,8659,156800.0,104976
mutag,97,2482,51744.0,28561
mutag,98,5087,97104.0,50625
mutag,99,4795,92480.0,65536
mutag,100,23932,396576.0,279841
mutag,101,27153,445312.0,456976
mutag,102,12186,212960.0,130321
mutag,103,23933,396576.0,279841
mutag,104,7190,132848.0,83521
mutag,105,14241,245456.0,160000
mutag,106,27159,445312.0,390625
mutag,107,12159,212960.0,130321
mutag,108,47031,740520.0,614656
mutag,109,17837,305000.0,331776
mutag,110,1022,24200.0,14641
mutag,111,5086,97104.0,50625
mutag,112,1942,41912.0,28561
mutag,113,4784,92480.0,65536
mutag,114,1951,41912.0,20736
mutag,115,739,18400.0,10000
mutag,116,11578,205216.0,194481
mutag,117,23950,396576.0,279841
mutag,118,11565,205216.0,194481
mutag,119,2571,53312.0,28561
mutag,120,27160,445312.0,390625
mutag,121,15809,271872.0,194481
mutag,122,5901,111456.0,83521
mutag,123,1069,25168.0,14641
